Month,Price,Predicted Demand,Lower Bound,Upper Bound,Restock Amount
May 2025,"5,000 MMK",0,0,0,0
Jun 2025,"5,000 MMK",3450,3448,3452,4140
Jul 2025,"5,000 MMK",96,96,96,115
Aug 2025,"5,000 MMK",1796,1794,1799,2155
Sep 2025,"5,000 MMK",993,992,995,1192
Oct 2025,"5,000 MMK",1335,1332,1338,1602
Jun 2025,"10,000 MMK",0,0,0,0
Jul 2025,"10,000 MMK",1863,1860,1865,2236
Aug 2025,"10,000 MMK",3133,3126,3141,3760
Sep 2025,"10,000 MMK",1758,1752,1764,2110
Oct 2025,"10,000 MMK",2855,2842,2867,3426
Nov 2025,"10,000 MMK",1618,1609,1627,1942
Jun 2025,"20,000 MMK",0,0,0,0
Jul 2025,"20,000 MMK",0,0,0,0
Aug 2025,"20,000 MMK",6264,6263,6265,7517
Sep 2025,"20,000 MMK",2287,2287,2288,2744
Oct 2025,"20,000 MMK",2146,2146,2147,2575
Nov 2025,"20,000 MMK",1856,1855,1857,2227
May 2025,"50,000 MMK",170,169,170,204
Jun 2025,"50,000 MMK",248,247,249,298
Jul 2025,"50,000 MMK",737,732,742,884
Aug 2025,"50,000 MMK",475,471,479,570
Sep 2025,"50,000 MMK",657,649,664,788
Oct 2025,"50,000 MMK",376,370,381,451
Jun 2025,"100,000 MMK",44,44,44,53
Jul 2025,"100,000 MMK",51,51,51,61
Aug 2025,"100,000 MMK",81,81,81,97
Sep 2025,"100,000 MMK",45,45,45,54
Oct 2025,"100,000 MMK",137,137,137,164
Nov 2025,"100,000 MMK",85,85,85,102
