year,month,Price,predicted_sold_count,lower_bound,upper_bound,mape
2025,5,5000,20,20,20,0.010131110696625206
2025,6,5000,20,20,20,0.010131110696625206
2025,7,5000,20,20,20,0.010131110696625206
2025,8,5000,20,20,20,0.010131110696625206
2025,9,5000,20,20,20,0.010131110696625206
2025,10,5000,20,20,20,0.010131110696625206
2025,6,10000,470,468,472,0.0015637712319534565
2025,7,10000,289,280,296,0.0015637712319534565
2025,8,10000,236,225,247,0.0015637712319534565
2025,9,10000,806,792,818,0.0015637712319534565
2025,10,10000,391,345,434,0.0015637712319534565
2025,11,10000,618,590,645,0.0015637712319534565
2025,6,20000,239,235,244,0.004230782265461156
2025,7,20000,188,173,204,0.004230782265461156
2025,8,20000,523,500,548,0.004230782265461156
2025,9,20000,1446,1409,1486,0.004230782265461156
2025,10,20000,1175,1109,1242,0.004230782265461156
2025,11,20000,1709,1625,1797,0.004230782265461156
2025,5,50000,5,5,5,0.008628759213815878
2025,6,50000,5,5,5,0.008628759213815878
2025,7,50000,5,5,5,0.008628759213815878
2025,8,50000,5,5,5,0.008628759213815878
2025,9,50000,5,5,5,0.008628759213815878
2025,10,50000,5,5,5,0.008628759213815878
2025,6,100000,672,672,672,0.006569967645854753
2025,7,100000,856,855,857,0.006569967645854753
2025,8,100000,760,759,762,0.006569967645854753
2025,9,100000,500,498,502,0.006569967645854753
2025,10,100000,723,720,726,0.006569967645854753
2025,11,100000,641,637,645,0.006569967645854753
